

dq1,dq10,dq11,dq12,dq13,dq14,dq15,dq16,dq17,dq18,dq19,dq2,dq20,dq21,dq22,dq23,dq24,dq25,dq26,dq27,dq28,dq29,dq3,dq30,dq31,dq32,dq33,dq34,dq35,dq4,dq5,dq6,dq7,dq8,dq9,normQdot,
0 , -0.000981 , 0 , 0 , 0 , 0 , 8.01652e-11 , 2.40496e-10 , -0.000981 , 2.92002e-17 , -1.32273e-09 , 0 , 4.40909e-10 , -1.05879e-24 , -8.01652e-11 , -2.40496e-10 , -0.000981 , 2.92002e-17 , -1.32273e-09 , 4.40909e-10 , -1.05879e-24 , -0.0913137 , 0 , -0.010146 , 1.99995e-06 , -1.33634e-08 , 8.01806e-09 , 2.40542e-08 , -0.403562 , 0 , 0 , 0 , 0 , 0 , 0 , 6598.93 , 
0 , -0.000981 , nan , nan , nan , nan , 0 , 0 , -0.000981 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -0.000981 , 0 , 0 , 0 , 0 , -0.0334812 , 0 , -0.00378893 , 1.99995e-06 , 0.1 , 0 , 0 , -3.03542 , nan , nan , nan , nan , 0 , 0 , nan , 
0 , -0.000981 , nan , nan , nan , nan , 0 , 0 , -0.000981 , nan , nan , 0 , nan , nan , 0 , 0 , -0.000981 , nan , nan , nan , nan , -0.0334149 , 0 , -0.00380661 , 1.99995e-06 , 0.1 , 0 , 0 , -3.0363 , nan , nan , nan , nan , 0 , 0 , nan , 
0 , -0.000981 , nan , nan , nan , nan , 0 , 0 , -0.000981 , nan , nan , 0 , nan , nan , 0 , 0 , -0.000981 , nan , nan , nan , nan , -0.0333487 , 0 , -0.00382416 , 1.99995e-06 , 0.1 , 0 , 0 , -3.03719 , nan , nan , nan , nan , 0 , 0 , nan , 
0 , -0.000981 , nan , nan , nan , nan , 0 , 0 , -0.000981 , nan , nan , 0 , nan , nan , 0 , 0 , -0.000981 , nan , nan , nan , nan , -0.0332826 , 0 , -0.00384158 , 1.99995e-06 , 0.1 , 0 , 0 , -3.03807 , nan , nan , nan , nan , 0 , 0 , nan , 
0 , -0.000981 , nan , nan , nan , nan , 0 , 0 , -0.000981 , nan , nan , 0 , nan , nan , 0 , 0 , -0.000981 , nan , nan , nan , nan , -0.0332166 , 0 , -0.00385887 , 1.99995e-06 , 0.1 , 0 , 0 , -3.03895 , nan , nan , nan , nan , 0 , 0 , nan , 
0 , -0.000981 , nan , nan , nan , nan , 0 , 0 , -0.000981 , nan , nan , 0 , nan , nan , 0 , 0 , -0.000981 , nan , nan , nan , nan , -0.0331507 , 0 , -0.00387603 , 1.99995e-06 , 0.1 , 0 , 0 , -3.03982 , nan , nan , nan , nan , 0 , 0 , nan , 
0 , -0.000981 , nan , nan , nan , nan , 0 , 0 , -0.000981 , nan , nan , 0 , nan , nan , 0 , 0 , -0.000981 , nan , nan , nan , nan , -0.0330849 , 0 , -0.00389307 , 1.99995e-06 , 0.1 , 0 , 0 , -3.04069 , nan , nan , nan , nan , 0 , 0 , nan , 
0 , -0.000981 , nan , nan , nan , nan , 0 , 0 , -0.000981 , nan , nan , 0 , nan , nan , 0 , 0 , -0.000981 , nan , nan , nan , nan , -0.0330191 , 0 , -0.00390997 , 1.99995e-06 , 0.1 , 0 , 0 , -3.04156 , nan , nan , nan , nan , 0 , 0 , nan , 
0 , -0.000981 , nan , nan , nan , nan , 0 , 0 , -0.000981 , nan , nan , 0 , nan , nan , 0 , 0 , -0.000981 , nan , nan , nan , nan , -0.0329535 , 0 , -0.00392674 , 1.99995e-06 , 0.1 , 0 , 0 , -3.04242 , nan , nan , nan , nan , 0 , 0 , nan , 
0 , -0.000981 , nan , nan , nan , nan , 0 , 0 , -0.000981 , nan , nan , 0 , nan , nan , 0 , 0 , -0.000981 , nan , nan , nan , nan , -0.032888 , 0 , -0.00394338 , 1.99995e-06 , 0.1 , 0 , 0 , -3.04328 , nan , nan , nan , nan , 0 , 0 , nan , 
